OC,B1,B2,B3,B4,B5,B6,B7,NDVI,B1_bare,B2_bare,B3_bare,B4_bare,B5_bare,B6_bare,B7_bare
10,0.0654044,0.0636629,0.0910237,0.117511,0.222766,0.282695,0.252789,0.309321523,0.080412,0.0869039,0.16231599,0.223598,0.336988,0.40827501,0.338532
10,0.0568557,0.0562848,0.0975407,0.120359,0.31446499,0.32107499,0.234451,0.44640129,0.080412,0.0869039,0.16231599,0.223598,0.336988,0.40827501,0.338532
10,0.0208196,0.0183129,0.0583726,0.056051,0.354998,0.189288,0.104842,0.727278256,0.080412,0.0869039,0.16231599,0.223598,0.336988,0.40827501,0.338532
10.1,0.0671084,0.0688664,0.105183,0.131453,0.28168,0.331394,0.239098,0.363628662,0.0962763,0.0996055,0.15019099,0.23399401,0.328041,0.40540499,0.33816899
10.1,0.0295283,0.0320107,0.0686336,0.0887725,0.245846,0.27162,0.18907,0.469410687,0.0962763,0.0996055,0.15019099,0.23399401,0.328041,0.40540499,0.33816899
10.1,0.0322933,0.0341347,0.0741919,0.0885204,0.303341,0.219544,0.129236,0.548205565,0.0962763,0.0996055,0.15019099,0.23399401,0.328041,0.40540499,0.33816899
10.1,0.0480585,0.0470905,0.0846349,0.0867994,0.356294,0.193595,0.114916,0.608211722,0.0962763,0.0996055,0.15019099,0.23399401,0.328041,0.40540499,0.33816899
10.1,0.0394132,0.0357363,0.0711903,0.0660005,0.319736,0.176695,0.105148,0.657794894,0.0962763,0.0996055,0.15019099,0.23399401,0.328041,0.40540499,0.33816899
10.4,0.0729782,0.0832376,0.129177,0.178257,0.297848,0.256185,0.172949,0.251186188,0.125734667,0.135283997,0.19564567,0.250455997,0.346368,0.415745337,0.338173327
10.4,0.0833596,0.0785558,0.113956,0.136091,0.284496,0.312353,0.247144,0.352852085,0.125734667,0.135283997,0.19564567,0.250455997,0.346368,0.415745337,0.338173327
10.5,0.0384184,0.0451772,0.080194,0.120987,0.254525,0.257067,0.168699,0.355615799,0.104310271,0.110138084,0.181437213,0.25226143,0.3340125,0.421342574,0.342368851
10.5,0.0476499,0.0511107,0.0975745,0.12645,0.305622,0.275089,0.202001,0.414680887,0.104310271,0.110138084,0.181437213,0.25226143,0.3340125,0.421342574,0.342368851
10.5,0.0324382,0.0357454,0.0877106,0.0955843,0.342162,0.168606,0.0952177,0.563289056,0.104310271,0.110138084,0.181437213,0.25226143,0.3340125,0.421342574,0.342368851
10.6,0.0587215,0.0529583,0.0947465,0.0845489,0.36545,0.246083,0.162552,0.624226193,0.097032125,0.099595613,0.167977988,0.23743,0.332611126,0.414716121,0.33373825
10.7,0.0838256,0.0915738,0.135803,0.18781701,0.31542099,0.325293,0.20492899,0.253565867,0.093953275,0.097945825,0.16699585,0.234471748,0.331578253,0.411297745,0.329962505
10.7,0.086583,0.117057,0.202163,0.300771,0.530158,0.490792,0.28089,0.276060891,0.093953275,0.097945825,0.16699585,0.234471748,0.331578253,0.411297745,0.329962505
10.8,0.0625874,0.0601441,0.095967,0.122671,0.239575,0.287106,0.228651,0.32271992,0.08917345,0.094542515,0.158392618,0.240404333,0.339135498,0.42188617,0.332787163
10.8,0.0397733,0.0422228,0.0809559,0.103689,0.279468,0.239539,0.169686,0.458764945,0.08917345,0.094542515,0.158392618,0.240404333,0.339135498,0.42188617,0.332787163
10.8,0.0180569,0.0100691,0.0302004,0.0140324,0.401279,0.107291,0.0471336,0.932424682,0.08917345,0.094542515,0.158392618,0.240404333,0.339135498,0.42188617,0.332787163
10.9,0.116562,0.124199,0.195235,0.229574,0.429987,0.413467,0.324126,0.303858172,0.079984933,0.08889767,0.149970333,0.222388663,0.315908337,0.405442683,0.336170993
10.9,0.0450983,0.0455894,0.0790986,0.0925306,0.205215,0.24369,0.179501,0.378458657,0.079984933,0.08889767,0.149970333,0.222388663,0.315908337,0.405442683,0.336170993
10.9,0.0519886,0.0547079,0.101687,0.109873,0.337739,0.22018,0.138421,0.509070356,0.079984933,0.08889767,0.149970333,0.222388663,0.315908337,0.405442683,0.336170993
10.9,0.034906,0.0420447,0.0854094,0.0999137,0.32971,0.27873,0.18017,0.534878081,0.079984933,0.08889767,0.149970333,0.222388663,0.315908337,0.405442683,0.336170993
11,0.079082,0.0900941,0.142668,0.186621,0.359676,0.384552,0.263388,0.316778236,0.0881507,0.110966,0.181741,0.236334,0.323989,0.403843,0.323989
11,0.0774098,0.0779195,0.108779,0.134346,0.320645,0.292272,0.183764,0.409456451,0.0881507,0.110966,0.181741,0.236334,0.323989,0.403843,0.323989
11,0.0523038,0.0574493,0.113993,0.131997,0.404387,0.296434,0.205649,0.507826483,0.0881507,0.110966,0.181741,0.236334,0.323989,0.403843,0.323989
11.1,0.0127931,0.0182689,0.0763632,0.14768,0.306439,0.336505,0.259003,0.349597793,0.087357575,0.100380825,0.162902,0.224352503,0.324944748,0.395992998,0.304779503
11.1,0.0625879,0.0518889,0.0784099,0.0683079,0.356902,0.156987,0.0927089,0.678709738,0.087357575,0.100380825,0.162902,0.224352503,0.324944748,0.395992998,0.304779503
11.2,0.0577764,0.0650992,0.119877,0.152929,0.331295,0.296872,0.19615,0.368354315,0.08928155,0.099917,0.164055,0.237096005,0.342851495,0.407762495,0.305580005
11.2,0.0226186,0.0165966,0.0457492,0.0376766,0.297252,0.112373,0.0578781,0.775017123,0.08928155,0.099917,0.164055,0.237096005,0.342851495,0.407762495,0.305580005
11.3,0.104793,0.107991,0.150935,0.197264,0.355928,0.366263,0.242312,0.286815428,0.09135295,0.0917792,0.15580155,0.2260945,0.320858505,0.394847745,0.32346025
11.3,0.043289,0.0469858,0.100758,0.122723,0.342057,0.274513,0.186886,0.47190929,0.09135295,0.0917792,0.15580155,0.2260945,0.320858505,0.394847745,0.32346025
11.3,0.046362,0.0472779,0.0944474,0.0943795,0.403759,0.239552,0.146371,0.621071248,0.09135295,0.0917792,0.15580155,0.2260945,0.320858505,0.394847745,0.32346025
11.3,0.0244768,0.0227343,0.0546499,0.0597657,0.295149,0.157938,0.0911882,0.663210907,0.09135295,0.0917792,0.15580155,0.2260945,0.320858505,0.394847745,0.32346025
11.5,0.0819265,0.0977164,0.149391,0.203493,0.350927,0.420788,0.277496,0.26592475,0.096497267,0.107067333,0.177569663,0.253586333,0.36059434,0.430716663,0.355695007
11.5,0.0548763,0.0595111,0.0973481,0.124688,0.247787,0.339005,0.241901,0.330489295,0.096497267,0.107067333,0.177569663,0.253586333,0.36059434,0.430716663,0.355695007
11.5,0.0615236,0.0627993,0.101589,0.116825,0.305535,0.292075,0.193523,0.446798939,0.096497267,0.107067333,0.177569663,0.253586333,0.36059434,0.430716663,0.355695007
11.5,0.044537,0.0450753,0.0905356,0.104001,0.372611,0.268454,0.176011,0.563582117,0.096497267,0.107067333,0.177569663,0.253586333,0.36059434,0.430716663,0.355695007
11.6,0.0684379,0.0673522,0.0949332,0.111993,0.207278,0.279426,0.217307,0.298445521,0.09963007,0.107733137,0.165389117,0.218809217,0.316567363,0.380261943,0.30733432
11.6,0.0229962,0.0214029,0.0714121,0.069161,0.3805,0.240385,0.137351,0.692386042,0.09963007,0.107733137,0.165389117,0.218809217,0.316567363,0.380261943,0.30733432
11.6,0.0630481,0.0576039,0.0930598,0.0797264,0.466971,0.245555,0.159065,0.708334446,0.09963007,0.107733137,0.165389117,0.218809217,0.316567363,0.380261943,0.30733432
11.7,0.0473175,0.0462178,0.0782053,0.0936223,0.303809,0.21523,0.14249,0.528862976,0.09462135,0.097956017,0.167932863,0.234370168,0.322761172,0.408918333,0.319655338
11.8,0.0840471,0.0938072,0.132853,0.182689,0.331945,0.39254,0.277327,0.29002359,0.1110605,0.1217685,0.17883,0.24263,0.3666725,0.4271775,0.3096195
11.8,0.052711,0.0563412,0.115528,0.151209,0.396273,0.303155,0.214652,0.447620196,0.1110605,0.1217685,0.17883,0.24263,0.3666725,0.4271775,0.3096195
11.9,0.0625609,0.0724876,0.111272,0.158508,0.276747,0.378761,0.266266,0.271654547,0.10978,0.12146,0.181477,0.248821,0.358013,0.424293,0.327934
11.9,0.0673615,0.0714328,0.110856,0.151018,0.3131,0.373525,0.249985,0.349225843,0.10978,0.12146,0.181477,0.248821,0.358013,0.424293,0.327934
11.9,0.0703477,0.0631578,0.0959203,0.105836,0.301841,0.317863,0.22425,0.480785033,0.10978,0.12146,0.181477,0.248821,0.358013,0.424293,0.327934
11.9,0.0522014,0.0543691,0.120018,0.140326,0.452938,0.354374,0.23469,0.526935732,0.10978,0.12146,0.181477,0.248821,0.358013,0.424293,0.327934
11.9,0.0323566,0.0321428,0.0760367,0.0825574,0.323397,0.212016,0.132376,0.593267618,0.10978,0.12146,0.181477,0.248821,0.358013,0.424293,0.327934
12.1,0.0687275,0.0685636,0.102759,0.133908,0.325867,0.388641,0.248932,0.417506389,0.0947398,0.09573015,0.161336,0.235391495,0.32706399,0.404545,0.3256945
